id,claim,label
16,Đại sứ quán Trung Quốc tại Mỹ xác nhận đang tiến hành các cuộc tham vấn và đàm phán về vấn đề thuế quan với Washington vào ngày 26/4.,REFUTED
17,Tổng thống Mỹ Donald Trump đã có một cuộc điện đàm với Chủ tịch Trung Quốc Tập Cận Bình để thảo luận về các biện pháp thuế quan đơn phương vào ngày 26/4.,NEI
18,"Cầu Hoa Giang, được khánh thành tại tỉnh Quý Châu, Trung Quốc, có nhịp chính dài 1.420 m, trở thành cây cầu có nhịp dài nhất thế giới được xây dựng ở khu vực miền núi.",SUPPORTED
19,"Cầu cạn Millau của Pháp, với chiều cao 343 m, hiện đang giữ kỷ lục là cây cầu cao nhất thế giới tính theo khoảng cách từ mặt cầu đến mặt đất.",REFUTED
20,"Các kỹ sư Trung Quốc đã sử dụng công nghệ tiên tiến nhất để hoàn thành cầu Hoa Giang, giảm thiểu tác động đến môi trường tự nhiên của tỉnh Quý Châu.",NEI
21,"Trong ba tháng thi công sửa chữa cầu Bình Triệu 1 vào năm 2010, quá trình kích nâng đã tốn khoảng một tháng.",SUPPORTED
22,"Năm 2010, nhà thầu Freyssinet đã thực hiện sửa chữa cầu Bình Triệu 1 bằng cách kết nối thành năm liên nhịp, mỗi liên dài 140 m.",REFUTED
23,"Ông Trần Đỗ Liêm, Chủ tịch Hiệp hội Vận tải thủy nội địa Việt Nam, đã đề xuất áp dụng giải pháp nâng cầu Bình Triệu 1 cho các cây cầu mới xây dựng tại Hà Nội.",NEI
24,"Bộ trưởng Quốc phòng Ukraine Rustem Umerov cho biết hai bên sẽ trao đổi thi thể theo công thức ""6.000 đổi 6.000"" trong một nhiệm vụ nhân đạo.",SUPPORTED
25,"Tại vòng hòa đàm trực tiếp thứ hai ở thành phố Istanbul hồi tháng 5, phái đoàn Nga và Ukraine nhất trí trao đổi tất cả tù binh bị thương nặng và bệnh nặng, cùng toàn bộ tù binh 18-25 tuổi, với con số 500 người mỗi bên.",REFUTED
26,Trưởng phái đoàn Nga Vladimir Medinsky khẳng định Moskva đã đơn phương trao trả 6.000 quân nhân Ukraine tử trận cho Kiev vào tháng 5 năm 2023.,NEI
27,"Tu chính án thứ 14, được quốc hội Mỹ phê chuẩn vào năm 1868, khẳng định tất cả những người sinh ra trên lãnh thổ Mỹ hoặc nhập tịch, nằm trong quyền tài phán của Mỹ, đều là công dân Mỹ.",SUPPORTED
28,"Tổng thống Mỹ vào năm 1868 đã đưa ra thông tin rằng Mỹ là quốc gia duy nhất trên thế giới cấp quyền công dân theo nơi sinh, trong khi thực tế chỉ có Canada và Mexico làm tương tự.",REFUTED
29,Tu chính án thứ 14 được phê chuẩn vào năm 1868 nhằm đảm bảo quyền công dân cho con cái của những người nhập cư bất hợp pháp đến Mỹ bằng thị thực du lịch.,NEI
30,"Trong đợt rét từ ngày 9/1, nhiệt độ thấp nhất tại Đồng Văn (Hà Giang) đã xuống 0 độ C.",SUPPORTED
31,"Trong đợt rét từ ngày 9/1, nhiệt độ thấp nhất tại Đồng Văn (Hà Giang) đã lên tới 10 độ C.",REFUTED
32,"Trong đợt rét từ ngày 9/1, nhiều đỉnh núi tại Đồng Văn (Hà Giang) đã có tuyết rơi dày 1 mét.",NEI
33,"Nhiều vùng tại tỉnh bang Ontario, Canada, đã ghi nhận tới 6 cảnh báo nắng nóng khắc nghiệt trong mùa hè năm 2023, nhiều hơn 4 cảnh báo trong cả năm 2022.",SUPPORTED
34,Khu vực Greater Toronto (GTA) ghi nhận tình trạng nắng nóng kéo dài với nền nhiệt trên 40 độ C trong mùa hè năm nay.,REFUTED
35,"Heat Collaborative, mạng lưới gồm nhiều nhóm xã hội dân sự hoạt động tại Ontario, đã đề xuất xây dựng các trung tâm làm mát cộng đồng vào ngày 18/8 để đối phó với nắng nóng.",NEI
36,"Ông Hải cho biết nhiều doanh nghiệp sẽ cùng tham gia vào hoạt động vận tải, không có sự độc quyền và tài xế được lựa chọn hãng có ưu đãi phù hợp cùng xe chất lượng.",SUPPORTED
37,"Theo ông Lê Trung Tính, Chủ tịch Hiệp hội Vận tải ôtô hành khách TP HCM, thành phố là một 'siêu đô thị' với mức phát thải rất nhỏ từ hoạt động giao thông.",REFUTED
38,Thành phố dự kiến sẽ xây dựng thêm 50 trạm sạc điện và 100 điểm dừng nghỉ cho tài xế xe công nghệ trong năm 2025.,NEI
39,"Sân bay quốc tế Long Thành, được quy hoạch với công suất tối đa 100 triệu khách mỗi năm, sẽ khai thác giai đoạn một từ giữa năm 2026 với công suất 25 triệu lượt khách và 1,2 triệu tấn hàng hóa mỗi năm.",SUPPORTED
40,"Tổng vốn đầu tư cho Sân bay quốc tế Long Thành là hơn 136.000 tỷ đồng, với giai đoạn một dự kiến hoàn thành vào cuối năm 2025.",REFUTED
41,ACV đang xem xét kịch bản chuyển toàn bộ đường bay quốc tế và nội địa về sân bay Long Thành ngay từ năm 2026 để giảm tải cho sân bay Tân Sơn Nhất.,NEI
42,"Theo ông Miran, thuế quan là công cụ sẵn có và dễ dàng nhất để giải quyết vấn đề, có thể sử dụng như đòn bẩy trong đàm phán để đảm bảo hàng xuất khẩu của Mỹ có thị phần ở các nước khác trong bài luận tháng 11/2024.",SUPPORTED
43,"Trong bài luận tháng 11/2024, ông Miran đề xuất các nước phải giảm giá đồng nội tệ so với USD và chấp nhận các nhượng bộ về kinh tế, thương mại để đổi lấy an ninh tài chính, quân sự do Mỹ đảm bảo.",REFUTED
44,"Trong bài phát biểu tại Viện Hudson ngày 7/4, ông Miran đã thảo luận về các biện pháp cụ thể để tăng cường nhập khẩu hàng hóa từ các quốc gia châu Âu vào Mỹ.",NEI
45,"Vào tháng 12 năm 2023, cả nước Việt Nam có hơn 74,3 triệu xe môtô.",SUPPORTED
46,"Từ năm 2009 đến năm 2023, số phương tiện cá nhân tại Việt Nam tăng trung bình mỗi năm 20-25%.",REFUTED
47,Việt Nam đã áp dụng quy chuẩn khí thải và kiểm định khí thải đối với xe môtô và xe gắn máy từ năm 2024.,NEI
48,"Nhà giáo làm việc tại các vùng đồng bào dân tộc thiểu số, miền núi, biên giới, hải đảo được hưởng chính sách lương và phụ cấp cao hơn.",SUPPORTED
49,"Chủ nhiệm Ủy ban Văn hóa - Xã hội Nguyễn Đắc Vinh cho biết việc quy định lương, phụ cấp cao nhất cho nhà giáo là để thể chế hóa chủ trương của Đảng về chính sách đối với học sinh.",REFUTED
50,Nhà giáo làm việc ở khu vực ngoài công lập được trả lương theo quy định của pháp luật về lao động và phụ cấp ưu đãi nghề.,NEI
51,"Cháu gái của ông chủ tiệm vàng 88 tuổi, tên Linh, đã đến tiệm Kim Hưng 10 phút sau vụ cướp và chứng kiến chú mình bị sốc nặng, chân chảy máu do dẫm phải kính vỡ.",SUPPORTED
52,"Ông chủ tiệm vàng 88 tuổi đã bị đột quỵ sau vụ cướp và xuất viện sau 10 ngày, hiện đang hồi phục tại nhà.",REFUTED
53,"Ông chủ tiệm vàng, người đã đến California 40 năm trước, đã quyết định đóng cửa tiệm vàng Kim Hưng sau biến cố vì lo sợ ảnh hưởng đến việc kinh doanh của gia đình.",NEI
54,"Các trường hợp không đáp ứng quy định về làm việc dự kiến bắt đầu bị cắt trợ cấp SNAP từ tháng 3/2026, tùy thời điểm tái xác nhận hồ sơ ở từng bang.",SUPPORTED
55,"Quy định mới về yêu cầu làm việc đối với người thụ hưởng SNAP chỉ áp dụng cho người 18-54 tuổi, không khuyết tật và không nuôi trẻ nhỏ.",REFUTED
56,Bộ Nông nghiệp Mỹ (USDA) đã ban hành hướng dẫn chi tiết về việc áp dụng yêu cầu làm việc cho các bang có tỷ lệ thất nghiệp dưới 10% từ ngày 4/7.,NEI
57,"Vào ngày 2/4, Bộ trưởng Tài chính Mỹ Scott Bessent đã khuyên các quốc gia bị Mỹ áp thuế đối ứng nên bình tĩnh, ngồi lại nghiên cứu kỹ thay vì trả đũa để tránh tình hình leo thang.",SUPPORTED
58,"Vào ngày 5/4, Tổng thống Donald Trump đã công bố mức thuế nhập khẩu đối ứng mới với 50% các đối tác thương mại, trong đó có 180 đối tác chịu mức thuế chung 10%.",REFUTED
59,Bộ trưởng Tài chính Bessent đã đề xuất giảm mức thuế đối ứng xuống 10% sau khi các đối tác thương mại đáp ứng yêu cầu của chính quyền Trump.,NEI
60,"Vào tháng 1 năm 2024, quận 1 đã hỗ trợ 10 triệu đồng cho mỗi hộ dân bị thiệt hại trong vụ hỏa hoạn tại một khu dân cư gồm 27 nhà tạm.",SUPPORTED
61,"Vào tháng 1 năm 2024, vụ hỏa hoạn đã làm hư hỏng 7 ngôi nhà, trong đó 6 căn cháy hoàn toàn và 1 căn cháy 80%, gây ra thương vong cho 3 người dân.",REFUTED
62,"Vào tháng 1 năm 2024, cảnh sát đã phong tỏa lối vào khu dân cư trên địa bàn quận 1 để điều tra nguyên nhân vụ hỏa hoạn.",NEI
63,"Biến thể R-60M, ra đời năm 1982, có khả năng bám bắt mục tiêu nhiệt với góc lệch tối đa 20 độ so với hướng mũi phi cơ.",SUPPORTED
64,Tên lửa R-60 nguyên bản có thể khóa mục tiêu ở góc lệch tối đa 20 độ so với hướng mũi máy bay.,REFUTED
65,Cơ chế khai hỏa và phát hiện mục tiêu của UAV Geran-2 mang tên lửa đối không sử dụng công nghệ radar tiên tiến của Nga.,NEI
66,"Hoàng Văn Vinh, 18 tuổi, lên xe giường nằm hành trình Sơn La - Hà Nam vào 17h ngày 21/2 tại quốc lộ 6, đoạn qua xã Mường Giôn, huyện Quỳnh Nhai.",SUPPORTED
67,"Xe giường nằm đón đoàn 13 người tại TP Sơn La vào khoảng 21h ngày 21/2, làm lấp đầy giường trống.",REFUTED
68,Hoàng Văn Vinh đã làm việc tại Hà Nam trước khi lên xe giường nằm trở về.,NEI
69,"Vào tháng 8, Tổng thống Trump từng gợi ý rằng Ukraine có thể phải nhượng bộ lãnh thổ để đổi lấy nền hòa bình lâu dài với Nga.",SUPPORTED
70,"Trong cuộc trao đổi tại Phòng Bầu dục hồi tháng hai, Tổng thống Trump đã nói với người đồng cấp Ukraine Volodymyr Zelensky rằng Kiev có đủ quân bài để giúp họ giành chiến thắng trước Moskva.",REFUTED
71,Chuyên gia phân tích Anthony Zurcher cho rằng việc Tổng thống Trump áp đặt các biện pháp trừng phạt cứng rắn hơn với Nga là một chiến thuật nhằm tăng sức ép với Ukraine.,NEI
72,"Tại sân bay Nội Bài, Đà Nẵng, Cam Ranh và Tân Sơn Nhất ở Việt Nam, công nghệ sinh trắc học trên nền tảng VNeID đã được triển khai để thay thế việc xuất trình giấy tờ tùy thân từ năm 2023.",SUPPORTED
73,Các điểm làm thủ tục sinh trắc học tại sân bay Việt Nam được bố trí tại khu vực phòng chờ thương gia và chỉ dành cho hành khách hạng nhất.,REFUTED
74,Hành khách sử dụng VNeID để làm thủ tục trên app của Vietnam Airlines hoặc Vietjet sẽ được miễn phí toàn bộ vé máy bay cho chuyến đi tiếp theo.,NEI
75,"Vào tháng 8, bà Ngoc Tran, 87 tuổi, đã nhận thư cảnh cáo lần ba từ ban quản lý khu nhà tiền chế Kona Kai Mobile Home Park ở thành phố Santa Ana, quận Cam, bang California, yêu cầu bà dẹp các chậu hoa và ghế ngả trên hiên.",SUPPORTED
76,"Bà Ngoc Tran, 87 tuổi, đã sống tại khu Kona Kai Mobile Home Park được 10 năm và có thể giữ lại 7 chậu hoa trên hiên nhà theo quy định mới vào tháng 8.",REFUTED
77,"Thành phố Santa Ana, quận Cam, bang California đã ban hành quy định mới về số lượng chậu hoa và loại ghế được phép đặt trên hiên nhà cho tất cả các khu nhà tiền chế vào tháng 8.",NEI
78,"Phó thủ tướng Trần Hồng Hà đã chỉ đạo Công an TP HCM nghiên cứu, kiến nghị sửa đổi, bổ sung Luật Xử lý vi phạm hành chính để áp dụng hình thức phạt lao động công ích đối với người vi phạm giao thông tại TP HCM.",SUPPORTED
79,"Từ ngày 1 tháng 1 năm 2025, hình thức phạt lao động công ích đã được áp dụng rộng rãi tại Việt Nam cho người vi phạm giao thông do đã có quy định pháp lý cụ thể.",REFUTED
80,"Trong cuộc họp sơ kết đảm bảo trật tự an toàn giao thông 6 tháng đầu năm 2025, Phó thủ tướng Trần Hồng Hà đã quyết định áp dụng hình phạt lao động công ích đối với các hành vi vi phạm giao thông như nồng độ cồn tại TP HCM.",NEI
81,"Vào rạng sáng ngày 24/5, hai trận địa phòng không được cho là tổ hợp Patriot đã khai hỏa 17 quả đạn trong một phút rưỡi tại thủ đô Kiev nhằm đánh chặn tên lửa đạn đạo Iskander-M của Nga.",SUPPORTED
82,"Vào rạng sáng ngày 24/5, hai tổ hợp Patriot đã kích hoạt cùng lúc nhằm đánh chặn UAV tự sát Geran-2 của Nga tại thủ đô Kiev.",REFUTED
83,Video được quay tại thủ đô Kiev vào rạng sáng ngày 24/5 cho thấy các trận địa Patriot đã bắn hạ thành công UAV tự sát Geran-2 của Nga.,NEI
84,"Các xã, phường mới sẽ hoạt động trước ngày 15 tháng 8 và các tỉnh thành sẽ hoạt động trước ngày 15 tháng 9.",SUPPORTED
85,"Các xã, phường mới sẽ hoạt động sau ngày 15 tháng 8 và các tỉnh thành sẽ hoạt động trước ngày 15 tháng 9.",REFUTED
86,"Các xã, phường mới sẽ hoạt động trước ngày 15 tháng 8 và các tỉnh thành sẽ hoạt động sau ngày 15 tháng 9.",REFUTED
87,"Các xã, phường mới sẽ hoạt động trước ngày 15 tháng 8 và các tỉnh thành sẽ hoạt động trước ngày 15 tháng 9, và sẽ có thêm 5 xã được thành lập.",NEI
88,"Vào sáng ngày 23/2, Cục Cảnh sát giao thông (Bộ Công an) thông báo người dân có thể truy cập Cổng dịch vụ công quốc gia hoặc cổng Bộ Công an để thực hiện cấp đổi giấy phép lái xe trực tuyến và giấy phép sẽ được chuyển trả sau 5 ngày làm việc nếu đăng ký dịch vụ bưu chính.",SUPPORTED
89,"Kể từ cuối năm 2022, Cục Cảnh sát giao thông (Bộ Công an) đã tiếp nhận chức năng sát hạch, cấp giấy phép lái xe từ Bộ Giao thông Vận tải và xử lý các quy trình cấp đổi giấy phép lái xe trên Cổng dịch vụ công quốc gia.",REFUTED
90,"Vào sáng ngày 23/2, Cục Cảnh sát giao thông (Bộ Công an) cho biết người dân có thể sử dụng ứng dụng VNeID để xuất trình giấy phép lái xe và nộp phạt vi phạm giao thông.",NEI
91,"Qatar đã đạt thỏa thuận mua 11 tổ hợp Patriot từ Mỹ vào năm 2012, bao gồm 44 bệ phóng, 246 tên lửa đánh chặn GEM-T và 768 đạn PAC-3.",SUPPORTED
92,Biến thể PAC-2 của hệ thống phòng không Patriot sử dụng tên lửa đánh chặn được trang bị công nghệ va chạm - tiêu diệt tiên tiến hơn để hạ mối đe dọa bằng động năng.,REFUTED
93,"Hệ thống phòng không Patriot, được biên chế từ năm 1981, có khả năng đối phó tên lửa siêu vượt âm trong mọi điều kiện tác chiến phức tạp.",NEI
94,"UBND TP Hà Nội đang lấy ý kiến cho dự thảo Nghị quyết quy định mức tiền phạt đối với một số hành vi vi phạm hành chính trong lĩnh vực giao thông đường bộ trên địa bàn, đề xuất nâng mức phạt gấp 1,5-2 lần so với Nghị định 168/2024.",SUPPORTED
95,"Hành vi điều khiển ôtô trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá 80 mg/100 ml máu hoặc vượt quá 0,4 mg/lít khí thở bị đề nghị phạt 15-20 triệu đồng, bằng mức quy định hiện hành.",REFUTED
96,Dự thảo Nghị quyết của UBND TP Hà Nội đề xuất áp dụng mức phạt 20-30 triệu đồng cho hành vi điều khiển ôtô không đi bên phải theo chiều đi của mình tại các tuyến cao tốc từ ngày 1 tháng 1 năm 2025.,NEI
97,Các phóng viên người bản địa ở Khan Younis có trình tự làm việc thông thường là chờ vài phút sau vụ nổ mới bắt đầu leo lên cầu thang để bắt sóng gửi tin và liên lạc với gia đình.,SUPPORTED
98,"Vào thời điểm xảy ra vụ nổ thứ hai, chỉ có dưới 5 người đang tập trung trên cầu thang thoát hiểm của bệnh viện.",REFUTED
99,Phóng viên Hussam Al-Masri đã bị thương trong vụ nổ thứ hai và được nhân viên cứu hộ đưa ra khỏi hiện trường.,NEI
100,"Tại các đô thị lớn nhất Mỹ, diện tích văn phòng hiện chiếm tới 70-80% tổng diện tích bất động sản ở những khu downtown.",SUPPORTED
101,"Khu downtown của thành phố Minneapolis, bang Minnesota, ghi nhận tình hình bất động sản ổn định khi người lao động quay trở lại văn phòng.",REFUTED
102,Giới quan sát ước tính sẽ mất tới 30 năm để toàn bộ số văn phòng bỏ không tại khu downtown Minneapolis có khách thuê.,NEI
103,Hoàng gia Anh đã xem xét cẩn thận các vấn đề liên quan đến việc đảm bảo an ninh cho Harry và đưa ra kết luận.,SUPPORTED
104,"Vào tháng 1 năm 2020, Harry và vợ đã rời Vương quốc Anh để đến sống tại Canada.",REFUTED
105,Thái tử William đã lên tiếng ủng hộ Harry trong cuộc phỏng vấn với Oprah Winfrey vào năm 2021.,NEI
106,Tài xế Nguyễn Văn Thinh đã thiếu quan sát và không kịp xử lý khi các xe phía trước dừng chờ đèn đỏ vào ngày 14 tháng 04 năm 2023 tại Thành phố Hồ Chí Minh.,SUPPORTED
107,Nguyên nhân vụ tai nạn được xác định là do tài xế Nguyễn Văn Thinh cố tình vượt đèn đỏ vào chiều ngày 14 tháng 04 năm 2023 tại Thành phố Hồ Chí Minh.,REFUTED
108,Lực lượng chức năng đã tiến hành bắt giữ tài xế Nguyễn Văn Thinh vì vi phạm luật giao thông vào ngày 14 tháng 04 năm 2023 tại Thành phố Hồ Chí Minh.,NEI
109,"Vào tháng 1, chính quyền Mỹ đã liệt một số băng đảng ở Mỹ Latin vào danh sách ""tổ chức khủng bố nước ngoài"" dưới thời Tổng thống Donald Trump.",SUPPORTED
110,Cuộc tập kích ngày 2/9 là nỗ lực mới nhất của Mỹ nhằm khẳng định các băng nhóm tội phạm ở Mỹ Latin chỉ hoạt động vì lợi nhuận.,REFUTED
111,Tổng thống Donald Trump đã cân nhắc không kích các cơ sở sản xuất ma túy ở Mexico vào nhiệm kỳ thứ hai của mình.,NEI
112,"Trực thăng S-97 Raider do hãng Sikorsky chế tạo, dựa trên nguyên mẫu X2, có tốc độ tối đa 440 km/h và đã đạt hơn 400 km/h trong các cuộc thử nghiệm.",SUPPORTED
113,Trực thăng S-97 Raider của Mỹ có tốc độ hành trình thấp hơn trực thăng thông thường và không thể tăng giảm tốc đột ngột.,REFUTED
114,"Nguyên mẫu trực thăng lai của Trung Quốc, với cụm động cơ giống MV-75, được phát triển bởi hãng Sikorsky.",NEI
115,"Cơ trưởng Han, 45 tuổi, một cựu phi công quân sự với hơn 6.800 giờ bay, đã điều khiển chiếc máy bay của hãng hàng không Jeju Air gặp trục trặc động cơ và hạ cánh bằng bụng xuống sân bay Muan, tỉnh Nam Jeolla vào ngày 29/12.",SUPPORTED
116,"Vào ngày 29/12, cơ trưởng Han, 45 tuổi, đã cố gắng tính toán khoảng cách xa nhất mà máy bay có thể đạt tới và đánh giá thời gian còn lại để phản ứng sau khi phi cơ của hãng hàng không Jeju Air gặp trục trặc và hạ cánh khẩn cấp xuống đất.",REFUTED
117,"Giáo sư Go Seung-hee, khoa Vận hành Hàng không tại Đại học Silla, Busan, đã đưa ra lời khuyên về quy trình hạ cánh khẩn cấp khi máy bay phải hạ cánh xuống nước cho cơ trưởng Han.",NEI
118,"Theo ông Singh, việc Ấn Độ tiếp tục mua dầu Nga là một quyết định hoàn toàn mang tính kinh tế và thương mại.",SUPPORTED
119,Các nhà máy lọc dầu của Ấn Độ tiết kiệm khoảng 10 tỷ USD mỗi tháng nhờ mua dầu thô của Nga.,REFUTED
120,"Trước khi ông Trump áp lệnh trừng phạt, Ấn Độ đã từng là khách hàng lớn nhất của Venezuela.",NEI
