ID,claim
29,"Anh Huỳnh Thanh Tuấn, thị trấn Bình Phú, huyện Cai Lậy, đã mua 100 kg gạo thơm với giá 1,4 triệu đồng và cho biết giá gạo tăng cao hơn so với mọi năm."
30,"Tư vấn IAC phân tích rằng mạng bay phân mảnh sẽ khiến các hãng hàng không mất thị phần, với sản lượng có thể sụt giảm 9% trong giai đoạn đầu, tương đương hơn 2 triệu lượt khách/năm, và tăng trưởng tại Long Thành có thể bị trễ thêm 8-9 năm."
31,"Sân bay Long Thành có diện tích 5.000 ha, tổng vốn đầu tư gần 336.630 tỷ đồng, giai đoạn một phục vụ 1,2 triệu tấn hàng hóa và 25 triệu hành khách mỗi năm, đồng thời công trình đã hoàn tất bay hiệu chuẩn bằng chuyên cơ Boeing 787."
32,ACV đề nghị Bộ Xây dựng và Cục Hàng không ban hành lộ trình chuyển đổi và xây dựng cơ chế ưu đãi cụ thể cho các hãng hàng không khi dịch chuyển khai thác sang sân bay Long Thành vào quý 3 năm 2024.
33,"Vào ngày 11/10, Chủ tịch Hà Nội Trần Sỹ Thanh cho biết Hà Nội chưa từng đối mặt với ""thiên tai kép"" với lượng mưa đặc biệt lớn sau bão Bualoi."
34,"Theo dự báo của cơ quan khí tượng, lượng mưa tại Mễ Trì trong 13 tiếng do ảnh hưởng của bão Matmo là 255 mm, tuy nhiên thực tế chỉ phổ biến 50-100 mm."
35,Chủ tịch Hà Nội Trần Sỹ Thanh yêu cầu lập danh mục công trình tiêu thoát nước khẩn cấp trình UBND thành phố phê duyệt trong tuần tới và rà soát hệ thống thoát nước tại các điểm như Ciputra.
36,"Vào năm 2024, 50% người Mỹ ủng hộ việc áp thuế 10% đối với hàng hóa Trung Quốc, trong khi 45% phản đối."
37,Khảo sát của CNN vào năm 2024 cho thấy hơn 60% người Mỹ ủng hộ áp thuế 25% đối với hàng nhập khẩu nhôm thép.
38,"Vào năm 2024, 70% người Mỹ ủng hộ chính sách tinh giản chính phủ bằng cách sa thải lượng lớn nhân viên, theo cuộc thăm dò của Washington Post."
39,Giáo viên Kateryna Chemeryz ở Kiev bày tỏ mong muốn hòa bình đến với Ukraine vào năm 2023 để binh sĩ có thể về nhà đón Giáng sinh và năm mới cùng gia đình.
40,Ông Trump tuyên bố sẽ chấm dứt xung đột Ukraine ngay sau cuộc bầu cử tổng thống Mỹ năm 2024.
41,Tổng thống Zelensky đã yêu cầu các đồng minh của Ukraine cung cấp tên lửa tầm xa để giúp chấm dứt xung đột trước cuối năm 2023.
42,"Theo Thông tư 73/2024 của Bộ Công an, CSGT có thẩm quyền khai thác dữ liệu từ thiết bị giám sát hành trình để xử lý các hành vi vi phạm pháp luật về trật tự, an toàn giao thông đường bộ."
43,"Tại Việt Nam, thanh tra giao thông có thẩm quyền xử phạt tất cả các loại phương tiện vi phạm giao thông, bao gồm cả lỗi quá tốc độ, kể từ ngày 15 tháng 7 năm 2024."
44,Thiết bị giám sát hành trình được lắp đặt trên tất cả các loại xe ô tô tại Việt Nam kể từ ngày 1 tháng 8 năm 2024.
45,"Ông Trần Trần Thanh Sơn, Chủ tịch công đoàn Công ty May Song Ngọc, cho biết vào sáng 18/2 tại hội nghị đối thoại rằng chi phí sinh hoạt ở TP HCM cao, khiến người lao động khó giữ chân dù được trả lương cao hơn 30% so với tỉnh."
46,"Ông Trần Trần Thanh Sơn, Chủ tịch công đoàn Công ty May Song Ngọc, phát biểu vào sáng 18/2 rằng mức giảm trừ gia cảnh cho người phụ thuộc ở TP HCM là 8,8 triệu đồng, cao gấp đôi so với các tỉnh."
47,"Ông Trần Trần Thanh Sơn, Chủ tịch công đoàn Công ty May Song Ngọc, đã đề xuất chính sách miễn giảm thuế thu nhập cá nhân cho tất cả các doanh nghiệp hoạt động tại TP HCM từ ngày 18/2."
48,"Vào khoảng một giờ sau vụ việc, giới chức bang Utah và FBI đã tổ chức họp báo tại thành phố St. George để công bố danh tính nghi phạm là Robinson, 22 tuổi, đối mặt cáo buộc giết người có tình tiết tăng nặng, cản trở công lý và nổ súng gây trọng tội."
49,"Hồ sơ tạm giam cho thấy Robinson, 22 tuổi, đã bị cáo buộc giết người, cản trở công lý và nổ súng gây trọng tội, với công tố viên bang dự kiến nộp cáo trạng vào cuối tháng này."
50,Giám đốc FBI Patel cho biết FBI đã xử lý 11 vụ án liên quan đến các ký hiệu lấy từ trò chơi điện tử được khắc trên vỏ đạn tại hiện trường vụ án ở Utah.
51,"Tại buổi họp báo ngày 6/10/2025, thiếu tướng Nguyễn Văn Mừng, Phó cục trưởng Cảnh sát giao thông, đã thông báo khó khăn trong việc xử phạt xe máy cũ biển 3 số, 4 số do không xác định được định danh chủ xe."
52,"Trong quý III/2025, Cục Cảnh sát giao thông đã xử lý thành công tất cả các trường hợp xe máy cũ biển 3 số, 4 số do đã xác định được định danh chủ xe."
53,"Thiếu tướng Nguyễn Văn Mừng, Phó cục trưởng Cảnh sát giao thông, đã đề xuất giải pháp lắp đặt camera giám sát trên tất cả các xe máy cũ biển 3 số, 4 số tại buổi họp báo ngày 6/10/2025."
54,"Từ ngày 1 tháng 3, ngành công an thực hiện cấp đổi giấy phép lái xe bằng hai hình thức trực tuyến và trực tiếp tại Phòng Cảnh sát giao thông cấp tỉnh và công an xã, phường, thị trấn."
55,"Trước ngày 1 tháng 3, việc cấp đổi giấy phép lái xe được ngành công an đảm nhiệm bằng hình thức trực tuyến."
56,Cán bộ công an đã hướng dẫn người dân cài đặt ứng dụng và chuyển tiền qua số điện thoại lạ trong tháng 3.
57,"Theo Đề án phát triển hệ thống đường sắt đô thị TP HCM, đến năm 2045, mạng lưới metro sẽ đạt 510 km."
58,"Trong 10 năm tới, TP HCM sẽ có tổng cộng 355 km metro, trong đó metro Bến Thành - Suối Tiên dài hơn 20 km."
59,Việc giải phóng mặt bằng cho dự án metro Bến Thành - Tham Lương đã hoàn tất vào cuối năm 2023.
60,Nhà giáo làm việc tại vùng có điều kiện đặc biệt khó khăn được hưởng chính sách lương và phụ cấp cao hơn.
61,"Chủ nhiệm Ủy ban Văn hóa - Xã hội Nguyễn Đắc Vinh cho biết việc quy định lương, phụ cấp thấp nhất cho nhà giáo là để thể chế hóa chủ trương của Đảng về chính sách đối với giáo viên."
62,Nhà giáo cấp học mầm non làm việc ở khu vực ngoài công lập được hưởng mức lương cao nhất theo quy định pháp luật lao động.
63,"Vào ngày 3/3, Tổng thống Donald Trump đã đình chỉ toàn bộ viện trợ quân sự đối với Ukraine để góp phần tìm giải pháp hòa bình, theo quan chức Nhà Trắng."
64,"Vào ngày 3/3, Tổng thống Donald Trump đã tiếp tục viện trợ quân sự cho Ukraine để góp phần tìm giải pháp hòa bình, theo quan chức Nhà Trắng."
65,Hạ nghị sĩ đảng Dân chủ Brendan Boyle đã chỉ trích quyết định dừng viện trợ cho Ukraine là 'liều lĩnh' và cam kết sẽ tiếp tục hỗ trợ Ukraine về mặt tài chính.
66,"Vào ngày 21 tháng 11 năm 2023, chủ một công ty sản xuất giày dép đã tuyên bố trên trang Douyin rằng công ty sẽ ngừng hợp tác với các đối tác tại Mỹ."
67,"Vào ngày 21 tháng 11 năm 2023, chủ một công ty sản xuất giày dép đã tuyên bố trên trang Douyin rằng công ty sẽ tăng cường hợp tác với các đối tác tại Mỹ."
68,"Vào ngày 21 tháng 11 năm 2023, chủ một công ty sản xuất giày dép đã tuyên bố trên trang Douyin rằng công ty sẽ ngừng hợp tác với các đối tác tại Mỹ và chuyển hướng sang thị trường châu Âu."
69,Tình trạng hiện tại làm dấy lên lo ngại về khả năng Israel đối phó tên lửa đạn đạo Iran nếu xung đột không sớm kết thúc.
70,Tình trạng này làm dấy lên sự tự tin về khả năng Israel đối phó tên lửa đạn đạo Iran nếu xung đột không sớm kết thúc.
71,Tình trạng này làm dấy lên lo ngại về khả năng Israel đối phó tên lửa đạn đạo Triều Tiên nếu xung đột không sớm kết thúc.
72,"Trong 9 ngày nghỉ Tết, Cục Cảnh sát giao thông đã xử lý hơn 55.500 trường hợp vi phạm, trong đó có hơn 17.100 trường hợp tài xế vi phạm nồng độ cồn, chiếm hơn 30% tổng số vụ vi phạm."
73,"Trong 9 ngày nghỉ Tết, cả nước xảy ra 445 vụ tai nạn giao thông làm chết 335 người, bị thương 337 người."
74,Vụ tai nạn giao thông nghiêm trọng nhất xảy ra trên quốc lộ 21 ở Nam Định vào ngày 30/1 là do xe khách 45 chỗ vượt đèn đỏ.
75,"Vào lúc 7h ngày 26/8, Công ty Thoát nước Hà Nội ghi nhận hơn 80 điểm ngập tại nội thành Hà Nội, với một số điểm ở phố Dương Đình Nghệ ngập sâu tới một mét."
76,"Vào tối ngày 26/8, thành phố Hà Nội chỉ còn 5 điểm ngập tại các tuyến đường chính."
77,Ông Nguyễn Văn Hưởng đã đưa ra dự báo về việc Hà Nội sẽ tiếp tục mưa lớn trong tuần đầu tháng 9/2023 do ảnh hưởng của bão.
78,Đại sứ quán Trung Quốc tại Mỹ khẳng định vào ngày 26/4 rằng không có cuộc tham vấn hay đàm phán nào giữa Trung Quốc và Mỹ về vấn đề thuế quan.
79,"Vào ngày 26/4, Đại sứ quán Trung Quốc tại Mỹ tuyên bố rằng Trung Quốc và Mỹ đang tiến hành các cuộc đàm phán về thuế quan và thương mại."
80,Tổng thống Mỹ Donald Trump đã có cuộc điện đàm với Chủ tịch Trung Quốc Tập Cận Bình vào ngày 26/4 để thảo luận về các biện pháp thuế quan.
81,"Phó tổng thống JD Vance đã cảnh báo nguy cơ lớn nhất với an ninh châu lục đến từ chính bên trong tại Hội nghị An ninh Munich, Đức vào ngày 14/2."
82,"Hermann Tertsch, thành viên đảng cực hữu Vox của Tây Ban Nha, bày tỏ sự không hài lòng với tầm nhìn mới về chiến lược an ninh của Mỹ vào ngày 14/2."
83,Giáo sư tại Đại học Johns Hopkins cho rằng tầm nhìn chiến lược mới của ông Trump về việc ủng hộ các đảng cánh hữu ở châu Âu sẽ dẫn đến sự phát triển mạnh mẽ của nền kinh tế châu lục.
84,"Năm 2026, công chức và người lao động sẽ được nghỉ tổng cộng 25 ngày trong các dịp lễ, Tết, bao gồm 11 ngày nghỉ chính thức và 14 ngày nghỉ hoán đổi."
85,"Năm 2026, dịp Tết Dương lịch sẽ nghỉ 3 ngày."
86,Đại học Ngoại thương đã lên kế hoạch tổ chức các hoạt động ngoại khóa cho sinh viên trong thời gian nghỉ lễ Tết Dương lịch năm 2026.
87,"Vào tối ngày hôm qua tại TP HCM, anh Minh Danh, 33 tuổi, tài xế xe công nghệ, đã bị một thanh niên đuổi theo và đập vỡ kính ôtô trên đường số 2 khu dân cư Vĩnh Lộc, phường Bình Hưng Hoà B, quận Bình Tân, gây thiệt hại hơn 30 triệu đồng."
88,"Vào tối ngày hôm qua tại TP HCM, anh Minh Danh, 33 tuổi, tài xế xe công nghệ, đã bị một thanh niên đuổi theo và đập vỡ kính ôtô trên đường số 2 khu dân cư Vĩnh Lộc, phường Bình Hưng Hoà B, quận Bình Tân, gây thiệt hại hơn 50 triệu đồng."
89,"Vào tối ngày hôm qua tại TP HCM, lãnh đạo Công an quận Tân Phú cho biết đơn vị đang tiến hành bắt giữ đối tượng thanh niên gây ra vụ đập vỡ kính ôtô trên đường số 2 khu dân cư Vĩnh Lộc, phường Bình Hưng Hoà B, quận Bình Tân."
90,"Chủ tịch Trung Quốc Tập Cận Bình đã gửi thông điệp mạnh mẽ đến người dân nước này rằng Bắc Kinh đã sẵn sàng đối phó với những đòn thuế của Washington và cần chuẩn bị thích ứng với một cuộc đấu tranh lâu dài, nhiều đau đớn trước đối thủ."
91,"Chủ tịch Trung Quốc Tập Cận Bình đã gửi thông điệp mạnh mẽ đến người dân nước này rằng Bắc Kinh đã sẵn sàng đối phó với những đòn thuế của Washington và cần chuẩn bị thích ứng với một cuộc đấu tranh ngắn ngủi, ít đau đớn trước đối thủ."
92,"Trong nhiều tuần qua, Chủ tịch Trung Quốc Tập Cận Bình đã chỉ đạo Bộ trưởng Ngoại giao Vương Nghị gửi thông điệp mạnh mẽ đến người dân nước này rằng Bắc Kinh đã sẵn sàng đối phó với những đòn thuế của Washington và họ cần chuẩn bị thích ứng với một cuộc đấu tranh lâu dài, nhiều đau đớn trước đối thủ."
93,"Vào tháng 7, Elvira Nabiullina, lãnh đạo Ngân hàng Trung ương Nga, cho biết nền kinh tế Nga đang có đà tăng trưởng cân bằng hơn."
94,Doanh thu dầu mỏ của Nga đã tăng 18% trong năm nay do giá dầu toàn cầu tăng cao.
95,"Năm 2023, Ngân hàng Phần Lan đã công bố nghiên cứu về tác động của lạm phát đến các khoản tiền gửi ngân hàng ở Nga."
96,"Sau khi rời bệ phóng, tên lửa PL-15E sử dụng hệ thống dẫn đường quán tính để bay tới khu vực dự đoán có mục tiêu, sau đó kích hoạt radar chủ động để tìm kiếm và lao tới đích."
97,Tên lửa PL-15E được thu hồi bởi Ấn Độ đã kích hoạt chế độ tự hủy thành công khi bay đến gần mục tiêu vào tháng 10 năm 2023.
98,Việc thu hồi quả đạn PL-15E giúp Ấn Độ có thể nghiên cứu về hệ thống động cơ đẩy và công nghệ tàng hình của tên lửa này.
99,"Vào năm ngoái, nhà máy ôtô điện của Volkswagen tại Hợp Phì đã sử dụng 1.074 robot sản xuất tại Thượng Hải."
100,"Tháng trước, Thủ tướng Đức Olaf Scholz đã đọc báo cáo công tác chính phủ trước quốc hội, cho hay nỗ lực 'phát triển mạnh mẽ' robot thông minh sẽ nằm trong kế hoạch trọng điểm của đất nước năm nay."
101,Chính phủ Trung Quốc đã đầu tư 10 tỷ USD vào các công ty sản xuất robot tự động hóa tại Đức vào năm ngoái.
102,"Vào ngày 18/2 tại trường Tiến Bộ, quận Tân Phú, TP HCM, tài xế Công Sơn, 49 tuổi, đã đến làm thủ tục đổi giấy phép lái xe ôtô sắp hết hạn vào ngày 27/2."
103,"Ông Sơn đã được cấp giấy phép lái xe mới vào ngày 31/3 sau khi hoàn tất thủ tục đổi bằng lái xe tại trường Tiến Bộ, quận Tân Phú, TP HCM."
104,"Ông Thanh Tùng, 47 tuổi, đã lên TP HCM từ Tiền Giang để đổi giấy phép lái xe hạng D và hoàn tất thủ tục trong vòng hai ngày."
105,"Vào ngày 23/6, Công an phường Bình Hưng Hòa, quận Bình Tân đang xử lý vụ việc một nhóm người phá cửa nhà anh Trần Việt Ân do mâu thuẫn liên quan đến việc hát karaoke gây ồn ào."
106,"Vào tối ngày 22/6, anh Trần Việt Ân đã gọi điện yêu cầu hàng xóm mở nhỏ tiếng hát karaoke và được hợp tác ngay lập tức, không có sự cố nào xảy ra."
107,"Vào ngày 23/6, anh Trần Việt Ân đã nhận được lời xin lỗi chính thức từ người hàng xóm 45 tuổi và nhận được một khoản bồi thường thiệt hại về tài sản."
108,Moskva đã bắt đầu triển khai tổ hợp này đến gần tiền tuyến từ đầu năm 2024.
109,Moskva đã ngừng triển khai tổ hợp này đến gần tiền tuyến từ đầu năm 2024.
110,Moskva đã triển khai tổ hợp này đến gần tiền tuyến vào cuối năm 2023.
